STATUT AMM,STATUT COMMERCIALISATION,SPECIALITE,DOSAGE,FORME,PRESENTATION,PP GN,SUBSTANCE ACTIVE,CLASSE THERAPEUTIQUE,EPI,PPV,PH,PFHT,CODE,TVA
AMM ENREGISTREE,Commercialisé,BIOTIC PLUS,1 G / 125 MG,SACHET,BOITE DE 14,GN,AMOXICILLINE // ACIDE CLAVULANIQUE,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,GALENICA,"116,80","73,00","69,54",1337,
AMM ENREGISTREE,Commercialisé,BIOTIC PLUS,1 G / 125 MG,SACHET,BOITE DE 24,GN,AMOXICILLINE // ACIDE CLAVULANIQUE,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,GALENICA,"189,70","118,60","112,93",1338,
AMM ENREGISTREE,Commercialisé,BIOTIC PLUS,"100 MG / 12,5 MG / ML",POUDRE POUR SOLUTION BUVABLE,FLACON DE 60 ML,GN,AMOXICILLINE // ACIDE CLAVULANIQUE,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,GALENICA,"34,20","21,40","20,36",1339,
AMM ENREGISTREE,Non Commercialisé,BIOTIC PLUS,125 MG,POUDRE POUR SUSPENSION BUVABLE,FLACON DE 60 ML,GN,AMOXICILLINE // ACIDE CLAVULANIQUE,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,GALENICA,"55,30","34,50","32,91",1340,
AMM ENREGISTREE,Commercialisé / AO,BIOTIC PLUS,250 MG,POUDRE POUR SOLUTION BUVABLE,FLACON DE 60 ML,GN,AMOXICILLINE // ACIDE CLAVULANIQUE,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,GALENICA,"78,20","48,80","46,53",1341,
AMM ENREGISTREE,Commercialisé AO / Export,BIOTIC PLUS,"500 MG / 62,5 MG",COMPRIME,BOITE DE 12,GN,AMOXICILLINE // ACIDE CLAVULANIQUE,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,GALENICA,"54,30","33,90","32,32",1342,
AMM ENREGISTREE,Commercialisé / AO,BIOTIC PLUS,"500 MG / 62,5 MG",COMPRIME,BOITE DE 24,GN,AMOXICILLINE // ACIDE CLAVULANIQUE,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,GALENICA,"97,00","60,60","57,72",1343,
AMM ENREGISTREE,Commercialisé,BIOTIC PLUS,"500 MG / 62,5 MG",POUDRE POUR SUSPENSION BUVABLE,BOITE DE 12,GN,AMOXICILLINE TRIHYDRATEE // ACIDE CLAVULANIQUE,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,GALENICA,"60,70","38,00","36,16",1344,
AMM ENREGISTREE,Commercialisé,BIOTIC PLUS,"500 MG / 62,5 MG",POUDRE POUR SUSPENSION BUVABLE,BOITE DE 16,GN,AMOXICILLINE TRIHYDRATEE // ACIDE CLAVULANIQUE,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,GALENICA,"84,40","52,70","50,22",1345,
AMM ENREGISTREE,Commercialisé,BIOTIC PLUS,"500 MG / 62,5 MG",POUDRE POUR SUSPENSION BUVABLE,BOITE DE 24,GN,AMOXICILLINE TRIHYDRATEE // ACIDE CLAVULANIQUE,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,GALENICA,"102,80","64,30","61,20",1346,
AMM ENREGISTREE,Commercialisé,BIOTIC PLUS,"500 MG / 62,5 MG",SACHET,BOITE DE 14,GN,AMOXICILLINE // ACIDE CLAVULANIQUE,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,GALENICA,"73,80","46,10","43,95",1347,
AMM ENREGISTREE,Commercialisé,BIOTIC PLUS (ENFANTS),"100 MG / 12,5 MG / ML",POUDRE POUR SOLUTION BUVABLE,FLACON DE 60 ML,GN,AMOXICILLINE // ACIDE CLAVULANIQUE,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,GALENICA,"58,90","36,80","35,05",1348,
AMM ENREGISTREE,Non Commercialisé,BISOCARD,"2,5 MG",COMPRIME PELLICULE SECABLE,BOITE DE 10,GN,BISOPROLOL,CARDIOLOGIE ET ANGEIOLOGIE,GALENICA,"14,40","9,00","8,55",1349,
AMM ENREGISTREE,Commercialisé / AO,BK-CID,150 MG,GELULE,BOITE DE 100,GN,RIFAMPICINE,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,GALENICA,"144,10","90,00","85,75",1350,
AMM ENREGISTREE,Commercialisé / AO,BK-CID,300 MG,GELULE,BOITE DE 30,GN,RIFAMPICINE,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,GALENICA,"86,40","54,00","51,43",1351,
AMM ENREGISTREE,Commercialisé,BUCOCINE,0,COMPRIME,BOITE DE 20,GN,LYSOZYME  // PAPAINE // BACITRACINE // TETRACAINEHCL // PYRIDOXINEHCL,ALLERGOLOGIE,GALENICA,"10,20","6,40","6,06",1352,
AMM ENREGISTREE,Non Commercialisé,BUTAMYL,1 MG,SUPPOSITOIRE,BOITE DE 12,GN,SALBUTAMOL SULFATE,PNEUMOLOGIE,GALENICA,"30,60","19,10","18,21",1353,
AMM ENREGISTREE,Commercialisé,BUTAMYL,100 µG,AEROSOL,FLACON DE 200 INHALATIONS,GN,SALBUTAMOL SULFATE,PNEUMOLOGIE,GALENICA,"42,20","26,40","25,14",1354,
AMM ENREGISTREE,Non Commercialisé,BUTAMYL,2 MG,COMPRIME,BOITE DE 40,GN,SALBUTAMOL SULFATE,PNEUMOLOGIE,GALENICA,"19,40","12,10","11,55",1355,
AMM ENREGISTREE,Commercialisé,BUTAMYL,40 MG / 100 ML,SOLUTION BUVABLE,FLACON DE 150 ML,GN,SALBUTAMOL SULFATE,PNEUMOLOGIE,GALENICA,"21,40","13,40","12,74",1356,
AMM ENREGISTREE,Commercialisé,CANDICID,150 MG,GELULE,BOITE DE 1,GN,FLUCONAZOLE,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,GALENICA,"22,40","14,00","13,35",1357,
AMM ENREGISTREE,Commercialisé,CANDICID,150 MG,GELULE,BOITE DE 4,GN,FLUCONAZOLE,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,GALENICA,"76,20","47,60","45,39",1358,
AMM ENREGISTREE,Non Commercialisé,CANDICID,50 MG,GELULE,BOITE DE 7,GN,FLUCONAZOLE,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,GALENICA,"78,30","48,90","46,59",1359,
AMM ENREGISTREE,Commercialisé / AO,CEPAVIR,200 MG,COMPRIME PELLICULE,BOITE DE 56,GN,RIBAVIRINE,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,GALENICA,"599,00","398,00","379,74",1360,
AMM ENREGISTREE,Non Commercialisé,CEPAVIR,200 MG,COMPRIME PELLICULE,BOITE DE 84,GN,RIBAVIRINE,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,GALENICA,"839,00","558,00","531,64",1361,
AMM ENREGISTREE,Non Commercialisé,CEPAVIR,200 MG,COMPRIME PELLICULE,BOITE DE 168,GN,RIBAVIRINE,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,GALENICA,"1570,00","1307,00","1245,18",1362,
AMM ENREGISTREE,Non Commercialisé,CEPAVIR,400 MG,COMPRIME PELLICULE,BOITE DE 56,GN,RIBAVIRINE,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,GALENICA,"979,00","699,00","666,66",1363,
AMM ENREGISTREE,Non Commercialisé,CEPAVIR,400 MG,COMPRIME PELLICULE,BOITE DE 84,GN,RIBAVIRINE,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,GALENICA,"1299,00","1029,00","980,39",1364,
AMM ENREGISTREE,Non Commercialisé,CEPAVIR,400 MG,COMPRIME PELLICULE,BOITE DE 168,GN,RIBAVIRINE,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,GALENICA,"2499,00","2161,00","2058,82",1365,
AMM ENREGISTREE,Non Commercialisé,CEPAVIR,600 MG,COMPRIME PELLICULE,BOITE DE 56,GN,RIBAVIRINE,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,GALENICA,"1339,00","1070,00","1019,60",1366,
AMM ENREGISTREE,Non Commercialisé,CEPAVIR,600 MG,COMPRIME PELLICULE,BOITE DE 84,GN,RIBAVIRINE,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,GALENICA,"1899,00","1647,00","1568,62",1367,
AMM ENREGISTREE,Non Commercialisé,CEPAVIR,600 MG,COMPRIME PELLICULE,BOITE DE 168,GN,RIBAVIRINE,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,GALENICA,"3499,00","3191,00","3039,21",1368,
AMM ENREGISTREE,Commercialisé,CETAMYL,"0,03",SOLUTION BUVABLE,BOITE DE 1 FLACON DE 90 ML,GN,PARACETAMOL,ANTALGIQUES,GALENICA,"16,00","10,00","9,50",1369,
AMM ENREGISTREE,Commercialisé,CETAMYL,1 G,COMPRIME SECABLE,BOITE DE 10,GN,PARACETAMOL,ANTALGIQUES,GALENICA,"12,30","7,70","7,34",1370,
AMM ENREGISTREE,Commercialisé AO / Export,CETAMYL,100 MG,POUDRE POUR SOLUTION BUVABLE,BOITE DE 12,GN,PARACETAMOL,ANTALGIQUES,GALENICA,"7,50","4,70","4,45",1371,
AMM ENREGISTREE,Commercialisé,CETAMYL,100 MG,SUPPOSITOIRE,BOITE DE 10,GN,PARACETAMOL,ANTALGIQUES,GALENICA,"7,50","4,70","4,45",1372,
AMM ENREGISTREE,Commercialisé,CETAMYL,1000 MG,COMPRIME EFFERVESCENT,BOITE D'UN TUBE DE 8,GN,PARACETAMOL,ANTALGIQUES,GALENICA,"13,50","8,50","8,07",1373,
AMM ENREGISTREE,Non Commercialisé,CETAMYL,125 MG,SACHET,BOITE DE 12,GN,PARACETAMOL,ANTALGIQUES,GALENICA,"10,50","6,50","6,23",1374,
AMM ENREGISTREE,Commercialisé,CETAMYL,150 MG,POUDRE POUR SOLUTION BUVABLE,BOITE DE 12,GN,PARACETAMOL,ANTALGIQUES,GALENICA,"8,40","5,30","5,01",1375,
AMM ENREGISTREE,Commercialisé,CETAMYL,150 MG,SUPPOSITOIRE,BOITE DE 10,GN,PARACETAMOL,ANTALGIQUES,GALENICA,"8,40","5,30","5,01",1376,
AMM ENREGISTREE,Non Commercialisé,CETAMYL,170 MG,SUPPOSITOIRE,BOITE DE 10,GN,PARACETAMOL,ANTALGIQUES,GALENICA,"10,00","6,20","5,95",1377,
AMM ENREGISTREE,Commercialisé,CETAMYL,200 MG,POUDRE POUR SOLUTION BUVABLE,BOITE DE 12,GN,PARACETAMOL,ANTALGIQUES,GALENICA,"10,50","6,50","6,23",1378,
AMM ENREGISTREE,Commercialisé,CETAMYL,200 MG,SUPPOSITOIRE,BOITE DE 10,GN,PARACETAMOL,ANTALGIQUES,GALENICA,"9,50","5,90","5,67",1379,
AMM ENREGISTREE,Commercialisé AO / Export,CETAMYL,250 MG,SACHET,BOITE DE 12,GN,PARACETAMOL,ANTALGIQUES,GALENICA,"11,90","7,40","7,09",1380,
AMM ENREGISTREE,Commercialisé,CETAMYL,300 MG,POUDRE POUR SOLUTION BUVABLE,BOITE DE 12,GN,PARACETAMOL,ANTALGIQUES,GALENICA,"11,20","7,00","6,68",1381,
AMM ENREGISTREE,Commercialisé,CETAMYL,300 MG,SUPPOSITOIRE,BOITE DE 10,GN,PARACETAMOL,ANTALGIQUES,GALENICA,"9,50","5,90","5,67",1382,
AMM ENREGISTREE,Commercialisé AO / Export,CETAMYL,50 MG,SUPPOSITOIRE,BOITE DE 10,GN,PARACETAMOL,ANTALGIQUES,GALENICA,"6,10","3,80","3,62",1383,
AMM ENREGISTREE,Commercialisé AO / Export,CETAMYL,500 MG,COMPRIME,BOITE DE 20,GN,PARACETAMOL,ANTALGIQUES,GALENICA,"9,50","5,90","5,67",1384,
AMM ENREGISTREE,Commercialisé,CETAMYL,500 MG,COMPRIME EFFERVESCENT,BOITE DE 20,GN,PARACETAMOL,ANTALGIQUES,GALENICA,"14,30","8,90","8,51",1385,
AMM ENREGISTREE,Commercialisé,CETAMYL,500 MG,COMPRIME SECABLE,BOITE DE 20,GN,PARACETAMOL,ANTALGIQUES,GALENICA,"9,50","5,90","5,67",1386,
AMM ENREGISTREE,Commercialisé,CETAMYL,500 MG,SACHET,BOITE DE 12,GN,PARACETAMOL,ANTALGIQUES,GALENICA,"13,40","8,30","7,96",1387,
AMM ENREGISTREE,Commercialisé Export,CETAMYL,80 MG,SUPPOSITOIRE,BOITE DE 10,GN,PARACETAMOL,ANTALGIQUES,GALENICA,"8,40","5,30","5,01",1388,
AMM ENREGISTREE,Commercialisé,CLARIL,250 MG,COMPRIME,BOITE DE 14,GN,CLARITHROMYCINE,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,GALENICA,"92,80","58,00","55,23",1389,
AMM ENREGISTREE,Commercialisé,CLARIL,500 MG,COMPRIME,BOITE DE 14,GN,CLARITHROMYCINE,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,GALENICA,"149,50","93,40","89,00",1390,
AMM ENREGISTREE,Non Commercialisé,CODETUX ADULTE,140 MG,SIROP,FLACON DE 180 ML,GN,CODEINE CAMPHOSULFONATE  // ACIDE ASCORBIQUE,PNEUMOLOGIE,GALENICA,"19,20","12,00","11,43",1391,
AMM ENREGISTREE,Non Commercialisé,CODETUX ENFANT,90 MG,SIROP,FLACON DE 125 ML,GN,CODEINE CAMPHOSULFONATE  // ACIDE ASCORBIQUE,PNEUMOLOGIE,GALENICA,"12,50","7,80","7,43",1392,
AMM ENREGISTREE,Commercialisé,COLISPASM,80 MG,COMPRIME ORODISPERSIBLE,BOITE DE 20,GN,PHLOROGLUCINOL DIHYDRATE,GASTRO-ENTEROLOGIE,GALENICA,"32,10","20,10","19,14",1393,
AMM ENREGISTREE,Non Commercialisé,COLOPATHIL ENFANT,"1,5 G",SACHET,BOITE DE 20,GN,ATTAPULGITE ACTIVEE,GASTRO-ENTEROLOGIE,GALENICA,"16,30","10,20","9,71",1394,
AMM ENREGISTREE,Non Commercialisé,COLOPATHIL ADULTE,3 G,SACHET,BOITE DE 30,GN,ATTAPULGITE ACTIVEE,GASTRO-ENTEROLOGIE,GALENICA,"22,20","13,90","13,24",1395,
AMM ENREGISTREE,Commercialisé,DACLAR GALENICA,60 MG,COMPRIME PELLICULE,BOITE DE 28,GN,DACLATASVIR,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,GALENICA,"1500,00","1235,00","1177,00",1396,
AMM ENREGISTREE,Commercialisé,DEFLAMOL,"40,5 G / 3,5 G",CREME,TUBE DE 30 G,GN,ZINC (OXYDE) // DIOXYDE DE TITANE,DERMATOLOGIE,GALENICA,"9,50","5,90","5,67",1397,
AMM ENREGISTREE,Commercialisé Export,DIABYL,500 MG,COMPRIME,BOITE DE 50,GN,METFORMINE (CHLORHYDRATE),METABOLISME NUTRITION DIABETE,GALENICA,"20,40","12,70","12,14",1398,
AMM ENREGISTREE,Commercialisé / AO,DIABYL RETARD,850 MG,COMPRIME,BOITE DE 30,GN,METFORMINE (CHLORHYDRATE),METABOLISME NUTRITION DIABETE,GALENICA,"22,40","14,00","13,36",1399,
AMM ENREGISTREE,Commercialisé Export,DIABYL RETARD,850 MG,COMPRIME,BOITE DE 60,GN,METFORMINE (CHLORHYDRATE),METABOLISME NUTRITION DIABETE,GALENICA,"40,80","25,50","24,29",1400,
AMM ENREGISTREE,Commercialisé,DIFAL,"0,01",GEL,TUBE DE 20 G,GN,DICLOFENAC SODIQUE,RHUMATOLOGIE,GALENICA,"17,10","10,70","10,19",1401,
AMM ENREGISTREE,Commercialisé,DIFAL,"0,01",GEL,TUBE DE 50 G,GN,DICLOFENAC SODIQUE,RHUMATOLOGIE,GALENICA,"35,70","22,30","21,25",1402,
AMM ENREGISTREE,Commercialisé,DIFAL,100 MG,SUPPOSITOIRE,BOITE DE 10,GN,DICLOFENAC SODIQUE,ANTI-INFLAMMATOIRES,GALENICA,"30,30","18,90","18,02",1403,
AMM ENREGISTREE,Commercialisé,DIFAL,25 MG,COMPRIME ENROBE,BOITE DE 30,GN,DICLOFENAC SODIQUE,ANTI-INFLAMMATOIRES,GALENICA,"23,20","14,50","13,82",1404,
AMM ENREGISTREE,Commercialisé,DIFAL,25 MG,SUPPOSITOIRE,BOITE DE 10,GN,DICLOFENAC SODIQUE,ANTI-INFLAMMATOIRES,GALENICA,"11,10","6,90","6,62",1405,
AMM ENREGISTREE,Commercialisé,DIFAL,50 MG,COMPRIME ENROBE,BOITE DE 30,GN,DICLOFENAC SODIQUE,ANTI-INFLAMMATOIRES,GALENICA,"41,30","25,80","24,59",1406,
AMM ENREGISTREE,Commercialisé AO / Export,DIFAL,75 MG,SOLUTION INJECTABLE,BOITE DE 2 AMPOULES 3 ML,GN,DICLOFENAC SODIQUE,ANTI-INFLAMMATOIRES,GALENICA,"14,50","9,10","8,63",1407,
AMM ENREGISTREE,Non Commercialisé,DIFAL,75 MG,SOLUTION INJECTABLE,BOITE DE 5 AMPOULES 3 ML,GN,DICLOFENAC SODIQUE,ANTI-INFLAMMATOIRES,GALENICA,"34,10","21,30","20,32",1408,
AMM ENREGISTREE,Commercialisé,DOLAMINE,400 MG / 25 MG / 5 MG,COMPRIME SECABLE,BOITE DE 20,GN,PARACETAMOL // CAFEINE // PROMETHAZINE (CHLORHYDRATE),ANTALGIQUES,GALENICA,"14,30","8,90","8,51",1409,
AMM ENREGISTREE,Non Commercialisé,DOUCIA PLUS,"0,27",POMMADE,TUBE DE 30 G 65 G,GN,ZINC (OXYDE) // VITAMINE A // VITAMINE D,DERMATOLOGIE,GALENICA,"10,20","6,40","6,09",1410,
AMM ENREGISTREE,Non Commercialisé,DOUCIA PLUS,"0,27",POMMADE,TUBE DE 65 G,GN,ZINC (OXYDE) // VITAMINE A // VITAMINE D,DERMATOLOGIE,GALENICA,"17,00","10,60","10,10",1411,
AMM ENREGISTREE,Commercialisé AO / Export,DOXYL,100 MG,GELULE,BOITE DE 10,GN,DOXYCYCLINE,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,GALENICA,"28,60","17,90","17,02",1412,
AMM ENREGISTREE,Commercialisé AO / Export,DOXYL,100 MG,GELULE,BOITE DE 5,GN,DOXYCYCLINE,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,GALENICA,"15,20","9,50","9,07",1413,
AMM ENREGISTREE,Commercialisé AO / Export,ENZYCARD,10 MG,COMPRIME SECABLE,BOITE DE 30,GN,RAMIPRIL,CARDIOLOGIE ET ANGEIOLOGIE,GALENICA,"120,00","75,00","71,43",1414,
AMM ENREGISTREE,Commercialisé AO / Export,ENZYCARD,"2,5 MG",COMPRIME SECABLE,BOITE DE 30,GN,RAMIPRIL,CARDIOLOGIE ET ANGEIOLOGIE,GALENICA,"50,00","31,20","29,76",1415,
AMM ENREGISTREE,Commercialisé AO / Export,ENZYCARD,5 MG,COMPRIME SECABLE,BOITE DE 30,GN,RAMIPRIL,CARDIOLOGIE ET ANGEIOLOGIE,GALENICA,"60,00","37,50","35,71",1416,
AMM ENREGISTREE,Commercialisé,EPHEDRYL,0,COMPRIME,BOITE DE 20,GN,PSEUDOEPHEDRINE (CHLORHYDRATE) // TRIPROLIDINE (CHLORHYDRATE) // PARACETAMOL,ANTALGIQUES,GALENICA,"16,10","10,10","9,60",1417,
AMM ENREGISTREE,Commercialisé,EPHEDRYL,0,SOLUTION BUVABLE,FLACON DE 100 ML,GN,PSEUDOEPHEDRINE (CHLORHYDRATE) // TRIPROLIDINE (CHLORHYDRATE) // PARACETAMOL,ANTALGIQUES,GALENICA,"16,70","10,40","9,93",1418,
AMM ENREGISTREE,Commercialisé AO / Export,EPILEPTOL,"0,0576",SIROP,0,GN,VALPROATE DE SODIUM,NEUROLOGIE-PSYCHIATRIE,GALENICA,"41,20","25,80","24,54",1419,
AMM ENREGISTREE,Commercialisé / AO,EPILEPTOL,"0,2",SOLUTION,BUVABLE,GN,VALPROATE DE SODIUM,NEUROLOGIE-PSYCHIATRIE,GALENICA,"41,30","25,80","24,56",1420,
AMM ENREGISTREE,Commercialisé AO / Export,EPILEPTOL,200 MG,COMPRIME,BOITE DE 40,GN,VALPROATE DE SODIUM,NEUROLOGIE-PSYCHIATRIE,GALENICA,"32,70","20,40","19,47",1421,
AMM ENREGISTREE,Commercialisé AO / Export,EPILEPTOL,500 MG,COMPRIME,BOITE DE 40,GN,VALPROATE DE SODIUM,NEUROLOGIE-PSYCHIATRIE,GALENICA,"67,30","42,00","40,05",1422,
AMM ENREGISTREE,Commercialisé AO / Export,ERGIC,"0,5 MG / ML",SOLUTION BUVABLE,FLACON DE 60 ML,GN,DESLORATADINE,ALLERGOLOGIE,GALENICA,"23,40","14,60","13,91",1423,
AMM ENREGISTREE,Commercialisé AO / Export,ETHAM,500 MG,COMPRIME,BOITE DE 50,GN,ETHAMBUTOL,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,GALENICA,"67,20","42,00","40,00",1424,
AMM ENREGISTREE,Commercialisé AO / Export,ETHIONAL,250 MG,COMPRIME,BOITE DE 40,GN,ETHIONAMIDE,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,GALENICA,"139,30","87,10","82,92",1425,
AMM ENREGISTREE,Commercialisé AO / Export,FITEX,0,CREME,TUBE DE 15 G,GN,TERBINAFINE,DERMATOLOGIE,GALENICA,"31,80","19,80","18,91",1426,
AMM ENREGISTREE,Commercialisé AO / Export,FITEX,"0,01",SOLUTION,FLACON DE 15 ML,GN,TERBINAFINE,DERMATOLOGIE,GALENICA,"31,30","19,60","18,64",1427,
AMM ENREGISTREE,Commercialisé AO / Export,FITEX,"0,01",SOLUTION,FLACON DE 30 ML,GN,TERBINAFINE,DERMATOLOGIE,GALENICA,"55,10","34,40","32,80",1428,
AMM ENREGISTREE,Commercialisé AO / Export,FITEX,250 MG,COMPRIME,BOITE DE 14,GN,TERBINAFINE,DERMATOLOGIE,GALENICA,"126,20","78,80","75,10",1429,
AMM ENREGISTREE,Commercialisé AO / Export,FITEX,250 MG,COMPRIME,BOITE DE 28,GN,TERBINAFINE,DERMATOLOGIE,GALENICA,"239,00","149,50","142,41",1430,
AMM ENREGISTREE,Commercialisé,FONDERMA,"0,005",EMULSION,FLACON DE 60 ML,GN,PYRITHIONE,DERMATOLOGIE,GALENICA,"13,30","8,30","7,90",1431,
AMM ENREGISTREE,Commercialisé,FONDERMA,"0,01",SOLUTION,FLACON DE 60 ML,GN,PYRITHIONE,DERMATOLOGIE,GALENICA,"14,50","9,10","8,65",1432,
AMM ENREGISTREE,Commercialisé,GASTROGEL,400 MG / 400 MG,COMPRIME,BOITE DE 40,GN,ALUMINIUM (HYDROXYDE) // HYDROXYDE DE MAGNESIUM,GASTRO-ENTEROLOGIE,GALENICA,"14,30","8,90","8,51",1433,
AMM ENREGISTREE,Commercialisé,GASTROGEL,"3,490 G / 3,990 G",SUSPENSION BUVABLE,FLACON DE 250 ML,GN,ALUMINIUM (HYDROXYDE) // HYDROXYDE DE MAGNESIUM,GASTRO-ENTEROLOGIE,GALENICA,"19,10","11,90","11,35",1434,
AMM ENREGISTREE,Non Commercialisé,GLYAZID,80 MG,COMPRIME,BOITE DE 20,GN,GLICLAZIDE,METABOLISME NUTRITION DIABETE,GALENICA,"29,70","18,60","17,68",1435,
AMM ENREGISTREE,Non Commercialisé,GLYAZID,80 MG,COMPRIME,BOITE DE 60,GN,GLICLAZIDE,METABOLISME NUTRITION DIABETE,GALENICA,"83,40","52,20","49,67",1436,
AMM ENREGISTREE,Commercialisé,HEC,0,POMMADE,TUBE DE 25 G,GN,TANIN OFFICINAL // HAMAMELIS VIRGINIANA // PHENAZONE,HEMATOLOGIE ET HEMOSTASE,GALENICA,"9,50","5,90","5,65",1437,
AMM SUSPENDUE,Suspendu du Marché,HEXAPNEUMINE,0,COMPRIME DRAGEFIE,BOITE DE 20,GN,BICLOTHYMOL // EUCALYPTOL // PARACETAMOL // PHOLCODINE,ANTALGIQUES,GALENICA,"28,20","17,60","16,80",1438,
AMM SUSPENDUE,Suspendu du Marché,HEXAPNEUMINE ENFANT,300 MG / 20 MG / 200 MG / 100 MG,SIROP,FLACON DE 200 ML,GN,BICLOTHYMOL // MALEATE DE CHLORPHENAMINE // GUAIFENESINE // PHOLCODINE,PNEUMOLOGIE,GALENICA,"21,50","13,50","12,82",1439,
AMM SUSPENDUE,Suspendu du Marché,HEXAPNEUMINE ADULTE,"0,16 G / 0,14 G / 0,40 G / 0,015 G",SUPPOSITOIRE,BOITE DE 6,GN,BICLOTHYMOL // EUCALYPTOL // PARACETAMOL // PHOLCODINE,ANTALGIQUES,GALENICA,"16,70","10,40","9,93",1440,
AMM SUSPENDUE,Suspendu du Marché,HEXAPNEUMINE ADULTE,"396 MG / 26,60 MG / 400 MG / 266 MG",SIROP,FLACON DE 200 ML,GN,BICLOTHYMOL // MALEATE DE CHLORPHENAMINE // GUAIFENESINE // PHOLCODINE,PNEUMOLOGIE,GALENICA,"25,30","15,80","15,05",1441,
AMM SUSPENDUE,Suspendu du Marché,HEXAPNEUMINE ENFANT,"0,08 G / 0,07 G / 0,20 G / 0,005 G",SUPPOSITOIRE,BOITE DE 6,GN,BICLOTHYMOL // EUCALYPTOL // PARACETAMOL // PHOLCODINE,ANTALGIQUES,GALENICA,"15,10","9,50","9,01",1442,
AMM ENREGISTREE,Non Commercialisé,HEXASPRAY,5 MG,COLLUTOIRE,FLACON DE 30 G,GN,BICLOTHYMOL,STOMATOLOGIE,GALENICA,"36,40","22,70","21,67",1443,
AMM ENREGISTREE,Commercialisé,HEXIDYL,0,BAIN DE BOUCHE,FLACON DE 200 ML,GN,HEXETIDINE,STOMATOLOGIE,GALENICA,"11,90","7,40","7,09",1444,
AMM ENREGISTREE,Commercialisé,I P P,20 MG,GELULE,BOITE DE 14,GN,OMEPRAZOLE,GASTRO-ENTEROLOGIE,GALENICA,"49,30","30,80","29,37",1445,
AMM ENREGISTREE,Commercialisé,I P P,20 MG,GELULE,BOITE DE 28,GN,OMEPRAZOLE,GASTRO-ENTEROLOGIE,GALENICA,"88,80","55,50","52,84",1446,
AMM ENREGISTREE,Commercialisé,INONGAN,0,POMMADE,TUBE DE 55 G,GN,SALICYLATE DE METHYLE // CAMPHRE // CAMPOULEHRE,ANTI-INFLAMMATOIRES,GALENICA,"12,40","7,70","7,37",1447,
AMM ENREGISTREE,Commercialisé,IPP,20 MG,GELULE,BOITE DE 56,GN,OMEPRAZOLE,GASTRO-ENTEROLOGIE,GALENICA,"129,00","80,60","76,77",1448,
AMM ENREGISTREE,Commercialisé,IPP,20 MG,GELULE,BOITE DE 7,GN,OMEPRAZOLE,GASTRO-ENTEROLOGIE,GALENICA,"20,60","12,80","12,24",1449,
AMM ENREGISTREE,Commercialisé AO / Export,ISO-BK,150 MG / 100 MG,GELULE,BOITE DE 100,GN,RIFAMPICINE // ISONIAZIDE,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,GALENICA,"160,10","100,10","95,32",1450,
AMM ENREGISTREE,Commercialisé AO / Export,ISO-BK,300 MG / 150 MG,GELULE,BOITE DE 100,GN,RIFAMPICINE // ISONIAZIDE,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,GALENICA,"281,00","187,30","178,37",1451,
